datetime, ibi
2020-02-13 15:33:22.059328,0.8281629999999999
2020-02-13 15:33:22.934368,0.8750399999999999
2020-02-13 15:34:21.593303,0.9844200000000001
2020-02-13 15:34:22.483969,0.890666
2020-02-13 15:34:23.421512,0.937543
2020-02-13 15:35:12.673766,0.906291
2020-02-13 15:35:13.580058,0.906291
2020-02-13 15:35:30.658965,1.046923
2020-02-13 15:35:31.799642,1.140677
2020-02-13 15:36:27.692825,0.484397
2020-02-13 15:36:28.208474,0.515649
2020-02-13 15:36:37.912043,1.125051
2020-02-13 15:36:41.084063,0.468771
2020-02-13 15:36:41.630963,0.5469
2020-02-13 15:36:42.177863,0.5469
2020-02-13 15:36:42.818518,0.640654
2020-02-13 15:36:43.302915,0.484397
2020-02-13 15:36:43.818563,0.515649
2020-02-13 15:36:44.427966,0.609403
2020-02-13 15:36:51.381410,1.015671
2020-02-13 15:36:52.475210,1.0938
2020-02-13 15:36:53.537758,1.062549
2020-02-13 15:36:54.365921,0.8281629999999999
2020-02-13 15:36:55.100330,0.734409
2020-02-13 15:37:04.303876,0.734409
2020-02-13 15:37:24.461049,0.921917
2020-02-13 15:37:25.398592,0.937543
2020-02-13 15:37:26.523643,1.125051
2020-02-13 15:37:27.445560,0.921917
2020-02-13 15:37:28.476858,1.031297
2020-02-13 15:37:29.367523,0.890666
2020-02-13 15:37:41.524330,1.031297
2020-02-13 15:37:47.462102,0.953169
2020-02-13 15:39:52.624081,1.0938
2020-02-13 15:39:53.671004,1.046923
2020-02-13 15:39:59.858787,0.968794
2020-02-13 15:40:00.905710,1.046923
2020-02-13 15:40:01.983884,1.078174
2020-02-13 15:40:56.267619,0.8750399999999999
2020-02-13 15:41:31.831747,0.906291
2020-02-13 15:41:32.675536,0.8437889999999999
2020-02-13 15:41:33.644330,0.968794
2020-02-13 15:41:34.722505,1.078174
2020-02-13 15:41:42.707245,0.937543
2020-02-13 15:41:43.707291,1.000046
2020-02-13 15:41:50.535728,0.43751999999999996
2020-02-13 15:42:10.755404,0.921917
